Type,Date,Code_Departement,Commune,Area (ha),Cause,ID_new
Foret,2021-04-06,13,AURIOL,80.33,Travaux (Particuliers),1445
Foret,2021-04-06,13,MEYRARGUES,0.04,Jet D'Objets Incandescents,1446
Foret,2021-04-06,7,JOYEUSE,0.8,Vehicules,1448
Foret,2021-04-06,13,ORGON,0.04,Travaux (Particuliers),1449
Foret,2021-04-06,83,GARDE-FREINET (LA),0.02,Travaux Forestiers,1451
Foret,2021-04-07,83,SAINTE-ANASTASIE-SUR-ISSOLE,0.02,Travaux (Particuliers),1452
Foret,2021-04-07,13,NOVES,0.2,Loisirs (Particuliers),1453
Foret,2021-04-07,7,SAINT-MICHEL-DE-CHABRILLANOUX,0.8,Travaux (Particuliers),1455
Foret,2021-04-07,6,TENDE,42.0,Travaux Forestiers,1456
Foret,2021-04-07,13,MEYREUIL,0.004,Jet D'Objets Incandescents,1457
Foret,2021-04-07,34,NISSAN-LEZ-ENSERUNE,0.0718,Malveillance,1458
Foret,2021-04-07,84,MONIEUX,30.81,Jet D'Objets Incandescents,1459
Foret,2021-04-07,5,SAINT-AUBAN-D'OZE,0.01,Travaux Agricoles,1461
Foret,2021-04-07,48,PREVENCHERES,11.47,Malveillance,1462
Foret,2021-04-07,26,MOTTE-CHALANCON (LA),0.52,Travaux Forestiers,1463
Foret,2021-04-08,13,MIRAMAS,0.002,Vehicules,1464
Foret,2021-04-08,30,LANGLADE,0.0028,Malveillance,1473
Foret,2021-04-08,30,LANGLADE,0.0012,Malveillance,1474
Foret,2021-04-08,30,LANGLADE,0.0059,Malveillance,1475
Foret,2021-04-08,30,LANGLADE,0.0032,Malveillance,1476
Foret,2021-04-08,34,MONTAGNAC,0.0991,Involontaire (travaux),1478
Foret,2021-04-08,7,PRUNET,16.5,Travaux Agricoles,1479
Foret,2021-04-08,13,EGUILLES,0.01,Travaux (Particuliers),1480
Foret,2021-04-08,34,NEBIAN,0.6485,Loisirs (Particuliers),1488
Foret,2021-04-08,48,SAINT-LAURENT-DE-TREVES,0.62,Travaux (Particuliers),1489
Foret,2021-04-09,13,SENAS,0.02,Travaux (Particuliers),1490
Foret,2021-04-09,83,TOURVES,0.15,Travaux (Particuliers),1491
Foret,2021-04-09,13,AIX-EN-PROVENCE,0.004,Travaux (Particuliers),1496
Foret,2021-04-09,4,MANE,0.43,Travaux (Particuliers),1497
Foret,2021-04-10,66,RODES,0.5,Malveillance,1499
Foret,2021-04-11,13,PLAN-D'ORGON,0.002,Travaux (Particuliers),1500
Foret,2021-04-11,5,CHORGES,0.004,Vehicules,1501
Foret,2021-04-13,2A,VILLANOVA,0.02,Travaux Forestiers,1502
Foret,2021-04-13,83,CABASSE,0.15,Malveillance,1504
Foret,2021-04-13,7,SAINT-PRIEST,0.9,Travaux Agricoles,1505
Foret,2021-04-13,66,SAINT-LAURENT-DE-CERDANS,1.5,Malveillance,1506
Foret,2021-04-14,34,MONTBLANC,0.2356,Travaux Forestiers,1511
Foret,2021-04-15,7,ORGNAC-L'AVEN,0.01,Travaux (Particuliers),1512
Foret,2021-04-15,84,SAINT-SATURNIN-LES-APT,1.0,Travaux Forestiers,1513
Foret,2021-04-17,13,TARASCON,0.1,Travaux (Particuliers),1520
Foret,2021-04-18,84,SORGUES,0.24,Malveillance,1532
Foret,2021-04-19,13,SALON-DE-PROVENCE,0.001,Loisirs (Particuliers),1542
Foret,2021-04-20,13,PEYROLLES-EN-PROVENCE,0.001,Vehicules,1544
Foret,2021-04-22,13,LANCON-PROVENCE,0.8,Travaux (Particuliers),1547
Foret,2021-04-22,84,SORGUES,0.34,Reprise Incendie,1549
Foret,2021-04-22,13,MEYRARGUES,0.006,Travaux (Particuliers),1550
Foret,2021-04-23,13,SAINTES-MARIES-DE-LA-MER,0.4,Travaux (Particuliers),1555
Foret,2021-04-23,13,LAMBESC,0.01,Travaux (Particuliers),1557
Foret,2021-04-24,48,CHIRAC,0.1,Jet D'Objets Incandescents,1560
Foret,2021-04-24,48,BORN (LE),3.66,Malveillance,1564
Foret,2021-04-24,6,SAINT-MARTIN-DU-VAR,0.008,Jet D'Objets Incandescents,1565
Foret,2021-04-25,83,AMPUS,0.3,Foudre,1567
Foret,2021-04-26,2A,VERO,0.005,Travaux (Particuliers),1570
Foret,2021-04-27,84,RASTEAU,0.03,Travaux Forestiers,1574
Foret,2021-05-07,13,AIX-EN-PROVENCE,0.01,Travaux (Particuliers),1580
Foret,2021-05-08,5,MOLINES-EN-QUEYRAS,5.5,Loisirs (Particuliers),1582
Foret,2021-05-08,66,ILLE-SUR-TET,0.6,Loisirs (Particuliers),1583
Foret,2021-05-10,2A,PROPRIANO,0.045,Travaux (Particuliers),1589
Foret,2021-05-10,2A,SERRA-DI-FERRO,0.02,Travaux (Particuliers),1591
Foret,2021-05-10,2A,CARGESE,0.005,Travaux (Particuliers),1592
Foret,2021-05-14,84,SAULT,0.0002,Loisirs (Particuliers),1593
Foret,2021-05-17,2B,VOLPAJOLA,8.0,Malveillance,1596
Foret,2021-05-17,66,CORNEILLA-LA-RIVIERE,1.5,Malveillance,1597
Foret,2021-05-17,2B,SCOLCA,4.9224,Malveillance,1598
Foret,2021-05-17,83,ROQUEBRUNE-SUR-ARGENS,0.1,Malveillance,1599
Foret,2021-05-18,13,AIX-EN-PROVENCE,0.005,Vehicules,1601
Foret,2021-05-18,13,FOS-SUR-MER,0.02,Jet D'Objets Incandescents,1602
Foret,2021-05-18,66,LATOUR-DE-FRANCE,2.0,Travaux Agricoles,1605
Foret,2021-05-18,2A,SARTENE,0.001,Malveillance,1609
Foret,2021-05-19,66,SAINT-ANDRE,0.2,Vehicules,1612
Foret,2021-05-19,34,PUISSERGUIER,0.0831,Loisirs (Particuliers),1614
Foret,2021-05-20,13,ROGNAC,0.01,Malveillance,1616
Foret,2021-05-20,13,ROUSSET,0.01,Jet D'Objets Incandescents,1618
Foret,2021-05-20,83,CARNOULES,0.002,Loisirs (Particuliers),1619
Foret,2021-05-21,13,JOUQUES,0.01,Travaux (Particuliers),1620
Foret,2021-05-21,83,TOURVES,0.03,Jet D'Objets Incandescents,1621
Foret,2021-05-21,2A,CARBUCCIA,0.002,Travaux (Particuliers),1622
Foret,2021-05-22,2A,VERO,0.005,Travaux (Particuliers),1624
Foret,2021-05-22,66,CORBERE-LES-CABANES,0.2,Malveillance,1625
Foret,2021-05-25,13,PELISSANNE,0.01,Jet D'Objets Incandescents,1627
Foret,2021-05-25,13,ROUSSET,0.03,Jet D'Objets Incandescents,1628
Foret,2021-05-26,66,TRESSERRE,0.2,Travaux Agricoles,1632
Foret,2021-05-27,2A,SALICE,0.02,Travaux (Particuliers),1634
Foret,2021-05-28,34,SIRAN,0.4631,Involontaire (particulier),1637
Foret,2021-05-29,2A,PORTO-VECCHIO,0.0025,Travaux (Particuliers),1640
Foret,2021-05-29,13,VENTABREN,0.05,Travaux (Particuliers),1641
Foret,2021-05-29,13,BERRE-L'ETANG,0.02,Vehicules,1643
Foret,2021-05-30,34,LESPIGNAN,34.0439,Jet D'Objets Incandescents,1644
Foret,2021-05-30,13,BARBEN (LA),0.003,Jet D'Objets Incandescents,1645
Foret,2021-05-30,34,VILLEVEYRAC,0.1333,Malveillance,1646
Foret,2021-05-31,13,VITROLLES,0.0005,Malveillance,1652
Foret,2021-06-01,13,CASSIS,0.001,Jet D'Objets Incandescents,1654
Foret,2021-06-01,2A,AJACCIO,0.0015,Travaux (Particuliers),1655
Foret,2021-06-03,34,POILHES,0.3235,Travaux (Particuliers),1657
Foret,2021-06-04,2A,SALICE,0.005,Travaux Agricoles,1663
Foret,2021-06-05,2A,GROSSETO-PRUGNA,0.04,Travaux (Particuliers),1665
Foret,2021-06-05,13,SAINT-MITRE-LES-REMPARTS,0.1,Loisirs (Particuliers),1666
Foret,2021-06-05,2A,VALLE-DI-MEZZANA,0.002,Depot d'Ordures,1667
Foret,2021-06-06,66,VILLELONGUE-DE-LA-SALANQUE,1.5,Lignes Electriques,1670
Foret,2021-06-06,13,TARASCON,0.004,Malveillance,1671
Foret,2021-06-07,34,POILHES,56.0104,Malveillance,1674
Foret,2021-06-07,34,LESPIGNAN,18.8475,Malveillance,1675
Foret,2021-06-08,13,ISTRES,1.0,Travaux (Particuliers),1677
Foret,2021-06-08,34,LIEURAN-CABRIERES,0.8975,Interet,1678
Foret,2021-06-08,66,TRESSERRE,0.8,Travaux Forestiers,1680
Foret,2021-06-08,13,MIRAMAS,1.5,Malveillance,1681
Foret,2021-06-09,66,TRESSERRE,0.4,Vehicules,1682
Foret,2021-06-09,66,BANYULS-DELS-ASPRES,3.0,Travaux Agricoles,1683
Foret,2021-06-09,66,CERET,0.2,Travaux Agricoles,1684
Foret,2021-06-10,84,MOTTE-D'AIGUES (LA),0.05,Travaux Forestiers,1688
Foret,2021-06-10,13,ROUSSET,0.001,Foudre,1690
Foret,2021-06-10,13,TRETS,0.002,Foudre,1691
Foret,2021-06-11,13,CIOTAT (LA),0.02,Depot d'Ordures,1693
Foret,2021-06-11,13,CHATEAUNEUF-LES-MARTIGUES,0.03,Jet D'Objets Incandescents,1694
Foret,2021-06-11,13,ROQUEFORT-LA-BEDOULE,0.001,Jet D'Objets Incandescents,1695
Foret,2021-06-12,66,SALSES-LE-CHATEAU,1.0,Vehicules,1696
Foret,2021-06-12,34,BEZIERS,4.1598,Reprise Incendie,1699
Foret,2021-06-13,2A,OCANA,0.2,Travaux (Particuliers),1705
Foret,2021-06-13,66,BOULOU (LE),0.2835,Loisirs (Particuliers),1709
Foret,2021-06-13,13,EYGUIERES,0.06,Loisirs (Particuliers),1710
Foret,2021-06-13,13,AURIOL,0.004,Lignes Electriques,1712
Foret,2021-06-14,2A,PETRETO-BICCHISANO,0.01,Travaux (Particuliers),1714
Foret,2021-06-14,34,POMEROLS,1.5226,Accidentelle,1715
Foret,2021-06-14,13,THOLONET (LE),0.25,Jet D'Objets Incandescents,1716
Foret,2021-06-14,66,SAINT-FELIU-D'AVALL,7.0,Travaux Agricoles,1717
Foret,2021-06-14,66,ANSIGNAN,1.0,Travaux Industriels/Publics,1720
Foret,2021-06-14,2A,ALATA,0.0001,Travaux (Particuliers),1724
Foret,2021-06-15,13,ROGNAC,0.3,Vehicules,1726
Foret,2021-06-15,34,SAINT-JEAN-DE-FOS,1.4673,Malveillance,1729
Foret,2021-06-15,66,BAGES,3.0,Vehicules,1730
Foret,2021-06-15,13,AIX-EN-PROVENCE,0.05,Jet D'Objets Incandescents,1731
Foret,2021-06-15,2B,CORSCIA,0.15,Foudre,1732
Foret,2021-06-15,2A,AULLENE,0.0001,Travaux Forestiers,1733
Foret,2021-06-16,66,PORT-VENDRES,32.96,Travaux Agricoles,1735
Foret,2021-06-16,34,BEZIERS,0.9013,Pyromanie,1736
Foret,2021-06-16,13,VELAUX,0.01,Jet D'Objets Incandescents,1738
Foret,2021-06-18,2A,COTI-CHIAVARI,0.0001,Travaux (Particuliers),1742
Foret,2021-06-18,2A,CALCATOGGIO,0.01,Travaux (Particuliers),1744
Foret,2021-06-18,2B,CALENZANA,0.8,Malveillance,1745
Foret,2021-06-19,66,BANYULS-SUR-MER,0.2,Malveillance,1747
Foret,2021-06-20,2A,CARBUCCIA,0.005,Travaux Agricoles,1749
Foret,2021-06-21,84,ROQUE-SUR-PERNES (LA),0.0002,Travaux Forestiers,1751
Foret,2021-06-21,13,CASSIS,0.001,Jet D'Objets Incandescents,1752
Foret,2021-06-23,34,CAUX,0.6465,Malveillance,1759
Foret,2021-06-23,13,ROVE (LE),0.0015,Jet D'Objets Incandescents,1760
Foret,2021-06-24,13,MARSEILLE,1.7,Accidentelle,1761
Foret,2021-06-24,34,VIAS,1.966,Interet,1762
Foret,2021-06-24,13,FOS-SUR-MER,0.005,Malveillance,1763
Foret,2021-06-25,2A,SOTTA,0.0341,Malveillance,1766
Foret,2021-06-25,2A,AJACCIO,5.4,Loisirs (Particuliers),1767
Foret,2021-06-25,66,SAINT-HIPPOLYTE,1.0,Malveillance,1768
Foret,2021-06-25,83,GRIMAUD,0.01,Travaux (Particuliers),1769
Foret,2021-06-26,2A,ZONZA,0.0001,Malveillance,1771
Foret,2021-06-26,2A,VERO,0.0001,Travaux (Particuliers),1772
Foret,2021-06-27,66,PRADES,0.139,Malveillance,1777
Foret,2021-06-28,13,TARASCON,0.01,Vehicules,1779
Foret,2021-06-28,34,SIRAN,0.0491,Malveillance,1780
Foret,2021-06-28,13,ARLES,0.04,Jet D'Objets Incandescents,1781
Foret,2021-06-28,83,SAINT-MANDRIER-SUR-MER,0.35,Travaux (Particuliers),1783
Foret,2021-06-28,13,MARSEILLE,0.5,Malveillance,1784
Foret,2021-06-28,66,VINGRAU,1.24,Conflit,1785
Foret,2021-06-29,13,GRANS,0.01,Travaux Agricoles,1787
Foret,2021-06-29,83,CALLAS,0.02,Travaux Forestiers,1788
Foret,2021-06-30,83,PLAN-DE-LA-TOUR (LE),0.1,Malveillance,1791
Foret,2021-06-30,13,SALON-DE-PROVENCE,0.002,Jet D'Objets Incandescents,1793
Foret,2021-06-30,13,THOLONET (LE),0.04,Jet D'Objets Incandescents,1795
Foret,2021-06-30,13,CIOTAT (LA),0.001,Jet D'Objets Incandescents,1796
Foret,2021-06-30,2B,ISOLACCIO-DI-FIUMORBO,0.04,Involontaire (travaux),1797
Foret,2021-06-30,83,SEILLANS,7.0,Lignes Electriques,1798
Foret,2021-06-30,34,MAUGUIO,0.9505,Conflit,1800
Foret,2021-06-30,2A,PERI,0.03,Lignes Electriques,1804
Foret,2021-06-30,30,PUJAUT,0.2136,Loisirs (Particuliers),1805
Foret,2021-07-01,34,MONTBLANC,3.1848,Conflit,1806
Foret,2021-07-01,2B,PENTA-ACQUATELLA,0.6,Travaux (Particuliers),1808
Foret,2021-07-01,13,VITROLLES,0.03,Jet D'Objets Incandescents,1810
Foret,2021-07-02,13,PENNES-MIRABEAU (LES),0.002,Jet D'Objets Incandescents,1816
Foret,2021-07-02,6,ISOLA,0.8,Travaux Forestiers,1817
Foret,2021-07-02,83,CARQUEIRANNE,0.1,Loisirs (Particuliers),1818
Foret,2021-07-02,66,CERET,0.126,Conflit,1819
Foret,2021-07-02,30,ROCHEFORT-DU-GARD,1.5432,Jet D'Objets Incandescents,1821
Foret,2021-07-02,4,SAINT-JULIEN-DU-VERDON,0.29,Jet D'Objets Incandescents,1823
Foret,2021-07-03,66,ESTAGEL,0.086,Malveillance,1826
Foret,2021-07-03,2A,GROSSETO-PRUGNA,0.01,Travaux (Particuliers),1828
Foret,2021-07-03,13,ISTRES,1.03,Vehicules,1829
Foret,2021-07-03,13,ENSUES-LA-REDONNE,0.001,Jet D'Objets Incandescents,1830
Foret,2021-07-03,4,RIEZ,0.02,Involontaire (particulier),1831
Foret,2021-07-04,13,FUVEAU,0.03,Jet D'Objets Incandescents,1832
Foret,2021-07-05,2B,LUMIO,5.25,Malveillance,1833
Foret,2021-07-05,13,SAINT-CHAMAS,0.0002,Jet D'Objets Incandescents,1834
Foret,2021-07-06,13,PENNES-MIRABEAU (LES),0.005,Jet D'Objets Incandescents,1838
Foret,2021-07-06,83,SAINT-RAPHAËL,0.004,Jet D'Objets Incandescents,1839
Foret,2021-07-07,2A,ALATA,0.0015,Malveillance,1840
Foret,2021-07-07,30,LASALLE,0.0012,Travaux (Particuliers),1841
Foret,2021-07-07,6,MANDELIEU-LA-NAPOULE,0.95,Vehicules,1842
Foret,2021-07-07,13,CABRIES,0.01,Malveillance,1843
Foret,2021-07-07,30,VERGEZE,0.009,Loisirs (Particuliers),1845
Foret,2021-07-08,34,MONTOULIERS,0.1267,Jet D'Objets Incandescents,1848
Foret,2021-07-08,13,PENNES-MIRABEAU (LES),0.03,Jet D'Objets Incandescents,1850
Foret,2021-07-08,34,SAINT-PARGOIRE,2.4458,Malveillance,1851
Foret,2021-07-08,13,MARTIGUES,0.003,Reprise Incendie,1852
Foret,2021-07-08,30,GALLARGUES-LE-MONTUEUX,0.0947,Malveillance,1855
Foret,2021-07-08,13,AUBAGNE,0.002,Malveillance,1856
Foret,2021-07-09,34,THEZAN-LES-BEZIERS,0.1149,Loisirs (Particuliers),1860
Foret,2021-07-09,13,AURIOL,0.015,Depot d'Ordures,1861
Foret,2021-07-09,30,PARIGNARGUES,5.4503,Travaux Agricoles,1865
Foret,2021-07-09,83,TANNERON,0.0005,Reprise Incendie,1866
Foret,2021-07-09,66,SALSES-LE-CHATEAU,1.6,Vehicules,1867
Foret,2021-07-09,2A,ALATA,7.0,Interet,1868
Foret,2021-07-10,34,BOSC (LE),0.2096,Accidentelle,1869
Foret,2021-07-10,83,SALERNES,0.015,Loisirs (Particuliers),1871
Foret,2021-07-10,13,ISTRES,0.76,Jet D'Objets Incandescents,1872
Foret,2021-07-10,2A,ZONZA,0.0005,Lignes Electriques,1873
Foret,2021-07-10,13,PEYPIN,0.01,Malveillance,1874
Foret,2021-07-10,66,SALEILLES,0.6,Malveillance,1875
Foret,2021-07-11,13,MARTIGUES,0.025,Loisirs (Particuliers),1876
Foret,2021-07-11,30,MOULEZAN,0.0074,Loisirs (Particuliers),1878
Foret,2021-07-11,83,TOURVES,0.005,Jet D'Objets Incandescents,1879
Foret,2021-07-12,13,FUVEAU,0.001,Jet D'Objets Incandescents,1884
Foret,2021-07-12,34,SAINT-PARGOIRE,0.1066,Malveillance,1885
Foret,2021-07-12,34,SAINT-PARGOIRE,0.0543,Malveillance,1886
Foret,2021-07-13,66,CASTELNOU,0.2,Vehicules,1888
Foret,2021-07-13,4,DIGNE-LES-BAINS,0.2,Vehicules,1889
Foret,2021-07-13,13,CUGES-LES-PINS,0.02,Vehicules,1891
Foret,2021-07-13,66,VILLEMOLAQUE,0.143,Malveillance,1892
Foret,2021-07-13,13,CIOTAT (LA),0.01,Travaux (Particuliers),1893
Foret,2021-07-13,13,CIOTAT (LA),0.0015,Travaux (Particuliers),1895
Foret,2021-07-13,13,AUBAGNE,0.02,Malveillance,1896
Foret,2021-07-13,13,MIRAMAS,0.01,Malveillance,1898
Foret,2021-07-14,2B,CAMPILE,0.5,Malveillance,1899
Foret,2021-07-14,2B,CAMPILE,0.8,Malveillance,1900
Foret,2021-07-14,83,ROCBARON,0.05,Conflit,1901
Foret,2021-07-14,2B,AGHIONE,3.34,Jet D'Objets Incandescents,1902
Foret,2021-07-14,2A,COTI-CHIAVARI,0.006,Lignes Electriques,1903
Foret,2021-07-14,6,VENCE,8.9,Loisirs (Particuliers),1904
Foret,2021-07-14,2B,OLETTA,10.505,Malveillance,1905
Foret,2021-07-14,13,CHATEAUNEUF-LES-MARTIGUES,0.015,Jet D'Objets Incandescents,1906
Foret,2021-07-14,66,SALEILLES,3.0,Loisirs (Particuliers),1908
Foret,2021-07-14,13,MARSEILLE,0.2,Malveillance,1909
Foret,2021-07-14,13,FOS-SUR-MER,0.001,Jet D'Objets Incandescents,1910
Foret,2021-07-14,13,PLAN-DE-CUQUES,0.001,Loisirs (Particuliers),1911
Foret,2021-07-15,13,PENNES-MIRABEAU (LES),3.23,Vehicules,1914
Foret,2021-07-15,4,PIERREVERT,0.82,Malveillance,1917
Foret,2021-07-15,34,QUARANTE,1.1165,Accidentelle,1918
Foret,2021-07-15,13,BERRE-L'ETANG,0.01,Jet D'Objets Incandescents,1920
Foret,2021-07-15,83,SEYNE-SUR-MER (LA),0.1,Jet D'Objets Incandescents,1921
Foret,2021-07-15,66,BOULOU (LE),0.05,Loisirs (Particuliers),1923
Foret,2021-07-15,66,ILLE-SUR-TET,0.15,Malveillance,1925
Foret,2021-07-16,13,ROGNAC,0.035,Malveillance,1926
Foret,2021-07-16,13,ROGNAC,0.1,Malveillance,1927
Foret,2021-07-16,13,ROGNAC,0.02,Malveillance,1928
Foret,2021-07-16,66,ARGELES-SUR-MER,1.5,Accidentelle,1929
Foret,2021-07-16,13,AUBAGNE,0.003,Loisirs (Particuliers),1930
Foret,2021-07-16,13,AURIOL,0.002,Jet D'Objets Incandescents,1931
Foret,2021-07-16,13,MARTIGUES,0.002,Jet D'Objets Incandescents,1932
Foret,2021-07-16,6,ROQUESTERON-GRASSE,0.01,Foudre,1936
Foret,2021-07-16,83,FLASSANS-SUR-ISSOLE,0.005,Jet D'Objets Incandescents,1938
Foret,2021-07-16,66,ILLE-SUR-TET,0.81,Malveillance,1939
Foret,2021-07-16,13,ENSUES-LA-REDONNE,0.001,Jet D'Objets Incandescents,1940
Foret,2021-07-16,13,PELISSANNE,0.05,Travaux (Particuliers),1941
Foret,2021-07-16,66,SAINT-LAURENT-DE-LA-SALANQUE,1.5,Malveillance,1942
Foret,2021-07-16,13,MARTIGUES,5.9,Jet D'Objets Incandescents,1944
Foret,2021-07-16,2B,PIETRASERENA,0.0001,Foudre,1945
Foret,2021-07-16,66,MONTESQUIEU-DES-ALBERES,0.01,Malveillance,1946
Foret,2021-07-16,66,MONTESQUIEU-DES-ALBERES,0.087,Malveillance,1947
Foret,2021-07-16,13,MARSEILLE,0.03,Malveillance,1949
Foret,2021-07-16,30,MONTFRIN,0.0341,Pyromanie,1950
Foret,2021-07-17,66,PERPIGNAN,2.0,Malveillance,1952
Foret,2021-07-17,13,PEYPIN,0.08,Reprise Incendie,1953
Foret,2021-07-17,13,PORT-DE-BOUC,0.0004,Jet D'Objets Incandescents,1955
Foret,2021-07-17,84,SAINT-MARTIN-DE-LA-BRASQUE,0.014,Loisirs (Particuliers),1956
Foret,2021-07-18,2B,ORTIPORIO,0.06,Malveillance,1958
Foret,2021-07-18,2B,ORTIPORIO,0.01,Malveillance,1959
Foret,2021-07-18,66,NEFIACH,96.34,Travaux (Particuliers),1960
Foret,2021-07-18,83,GARDE-FREINET (LA),0.02,Malveillance,1961
Foret,2021-07-18,6,SAINT-ANDRE-DE-LA-ROCHE,0.39,Accidentelle,1962
Foret,2021-07-18,30,ARAMON,0.0449,Malveillance,1963
Foret,2021-07-18,30,ROCHEFORT-DU-GARD,0.0229,Malveillance,1964
Foret,2021-07-18,30,ROCHEFORT-DU-GARD,1.2931,Malveillance,1965
Foret,2021-07-18,13,MARTIGUES,0.06,Malveillance,1966
Foret,2021-07-18,13,MARTIGUES,0.12,Malveillance,1967
Foret,2021-07-18,13,MARTIGUES,0.11,Malveillance,1968
Foret,2021-07-18,66,SAINT-JEAN-PLA-DE-CORTS,2.68,Malveillance,1969
Foret,2021-07-18,66,CORBERE-LES-CABANES,0.1,Interet,1970
Foret,2021-07-18,66,ALBERE (L'),2.31,Malveillance,1971
Foret,2021-07-18,13,MARTIGUES,0.01,Loisirs (Particuliers),1972
Foret,2021-07-18,83,SALERNES,0.03,Jet D'Objets Incandescents,1973
Foret,2021-07-19,30,PORTES,0.0331,Vehicules,1975
Foret,2021-07-19,66,BAHO,30.453,Travaux Industriels/Publics,1976
Foret,2021-07-19,13,MARTIGUES,0.02,Reprise Incendie,1977
Foret,2021-07-19,30,NIMES,0.24,Malveillance,1978
Foret,2021-07-19,13,SEPTEMES-LES-VALLONS,0.002,Jet D'Objets Incandescents,1980
Foret,2021-07-19,66,TRESSERRE,0.1,Travaux Agricoles,1981
Foret,2021-07-19,34,GUZARGUES,0.2804,Conflit,1982
Foret,2021-07-19,83,CRAU (LA),0.39,Malveillance,1984
Foret,2021-07-19,84,CAVAILLON,0.38,Foudre,1986
Foret,2021-07-19,66,PERPIGNAN,1.0,Loisirs (Particuliers),1988
Foret,2021-07-20,30,POUZILHAC,1.2063,Travaux Agricoles,1989
Foret,2021-07-20,66,MILLAS,1.5,Travaux Agricoles,1990
Foret,2021-07-20,34,MONTPELLIER,0.3019,Loisirs (Particuliers),1992
Foret,2021-07-20,13,AURONS,0.015,Jet D'Objets Incandescents,1994
Foret,2021-07-20,2A,SARROLA-CARCOPINO,0.002,Loisirs (Particuliers),1996
Foret,2021-07-20,6,NICE,0.03,Loisirs (Particuliers),1999
Foret,2021-07-20,13,MARTIGUES,0.002,Malveillance,2000
Foret,2021-07-21,2A,APPIETTO,0.0001,Loisirs (Particuliers),2001
Foret,2021-07-21,13,AIX-EN-PROVENCE,0.005,Travaux (Particuliers),2003
Foret,2021-07-21,30,SAINT-MARTIN-DE-VALGALGUES,0.0031,Malveillance,2004
Foret,2021-07-21,48,MOISSAC-VALLEE-FRANCAISE,0.0018,Foudre,2005
Foret,2021-07-21,13,MARTIGUES,0.005,Malveillance,2007
Foret,2021-07-22,84,CADENET,0.1,Malveillance,2008
Foret,2021-07-22,34,MONS,0.1263,Accidentelle,2009
Foret,2021-07-22,6,BAR-SUR-LOUP (LE),0.62,Travaux (Particuliers),2010
Foret,2021-07-22,13,CABRIES,0.02,Malveillance,2011
Foret,2021-07-22,13,MARSEILLE,0.03,Malveillance,2012
Foret,2021-07-22,34,SAUSSINES,0.5485,Vehicules,2013
Foret,2021-07-22,13,MARTIGUES,0.11,Malveillance,2014
Foret,2021-07-22,13,MARTIGUES,0.001,Malveillance,2018
Foret,2021-07-23,83,ROCBARON,0.06,Conflit,2019
Foret,2021-07-23,13,BERRE-L'ETANG,0.007,Malveillance,2021
Foret,2021-07-23,84,VAUGINES,2.91,Accidentelle,2023
Foret,2021-07-23,66,CERET,0.03,Involontaire (particulier),2024
Foret,2021-07-23,13,ISTRES,0.07,Jet D'Objets Incandescents,2025
Foret,2021-07-23,13,VAUVENARGUES,0.002,Loisirs (Particuliers),2026
Foret,2021-07-23,34,VILLEVEYRAC,0.2501,Malveillance,2027
Foret,2021-07-24,13,CABRIES,0.1,Malveillance,2028
Foret,2021-07-24,5,EMBRUN,0.04,Lignes Electriques,2029
Foret,2021-07-24,13,LAMBESC,0.08,Vehicules,2033
Foret,2021-07-24,13,MARSEILLE,0.3,Malveillance,2034
Foret,2021-07-24,5,GAP,0.75,Travaux Forestiers,2035
Foret,2021-07-24,2A,CUTTOLI-CORTICCHIATO,0.003,Travaux Forestiers,2036
Foret,2021-07-24,66,PEZILLA-LA-RIVIERE,2.5,Malveillance,2038
Foret,2021-07-25,66,ESPIRA-DE-L'AGLY,1.0,Malveillance,2044
Foret,2021-07-25,26,FRANCILLON-SUR-ROUBION,0.03,Loisirs (Particuliers),2046
Foret,2021-07-25,13,MARTIGUES,0.023,Malveillance,2047
Foret,2021-07-25,13,SALON-DE-PROVENCE,0.32,Malveillance,2050
Foret,2021-07-25,30,SABRAN,0.0227,Malveillance,2052
Foret,2021-07-25,30,SABRAN,0.0002,Malveillance,2053
Foret,2021-07-25,4,MARCOUX,0.61,Loisirs (Particuliers),2054
Foret,2021-07-26,83,ROCBARON,0.02,Pyromanie,2062
Foret,2021-07-26,34,OCTON,0.4902,Loisirs (Particuliers),2063
Foret,2021-07-26,48,ISPAGNAC,0.05,Jet D'Objets Incandescents,2064
Foret,2021-07-26,13,SALON-DE-PROVENCE,0.08,Malveillance,2065
Foret,2021-07-26,6,GREOLIERES,0.05,Foudre,2066
Foret,2021-07-26,13,VITROLLES,0.004,Malveillance,2067
Foret,2021-07-26,6,VENCE,0.03,Foudre,2071
Foret,2021-07-26,6,SAINT-CEZAIRE-SUR-SIAGNE,0.01,Foudre,2072
Foret,2021-07-27,4,PALUD-SUR-VERDON (LA),0.022,Foudre,2075
Foret,2021-07-27,13,MARSEILLE,0.13,Malveillance,2080
Foret,2021-07-28,2A,COZZANO,0.2,Vehicules,2084
Foret,2021-07-28,13,FONTVIEILLE,0.002,Travaux (Particuliers),2086
Foret,2021-07-28,13,ENSUES-LA-REDONNE,0.002,Loisirs (Particuliers),2087
Foret,2021-07-28,6,GRASSE,0.08,Foudre,2089
Foret,2021-07-29,6,SAINT-CEZAIRE-SUR-SIAGNE,0.7,Foudre,2092
Foret,2021-07-29,2A,LECCI,0.001,Travaux (Particuliers),2093
Foret,2021-07-29,13,LAMBESC,0.03,Travaux (Particuliers),2094
