Type,Date,Code_Departement,Commune,Area (ha),Cause,ID_new
Foret,2020-09-21,2A,CALCATOGGIO,0.008,Depot d'Ordures,963
Foret,2020-09-21,2B,SALICETO,0.0001,Foudre,964
Foret,2020-09-25,6,MANDELIEU-LA-NAPOULE,0.2,Foudre,965
Foret,2020-09-25,34,ROQUEBRUN,6.9471,Involontaire (particulier),966
Foret,2020-09-25,34,MURVIEL-LES-BEZIERS,0.5704,Malveillance,967
Foret,2020-09-27,83,CRAU (LA),0.001,Travaux (Particuliers),968
Foret,2020-09-28,13,ARLES,0.001,Foudre,969
Foret,2020-09-29,34,AZILLANET,1.2646,Malveillance,973
Foret,2020-09-30,13,MARTIGUES,0.04,Travaux (Particuliers),975
Foret,2020-10-01,2A,CALCATOGGIO,0.0035,Depot d'Ordures,978
Foret,2020-10-09,83,ENTRECASTEAUX,0.4,Travaux (Particuliers),985
Foret,2020-10-10,2B,FELICETO,0.01,Malveillance,986
Foret,2020-10-10,4,BRAUX,0.2,Travaux (Particuliers),987
Foret,2020-10-10,2B,FELICETO,4.0,Malveillance,988
Foret,2020-10-11,83,LAVANDOU (LE),1.0,Lignes Electriques,989
Foret,2020-10-11,2B,CAMBIA,5.0,Malveillance,990
Foret,2020-10-11,13,SAINT-REMY-DE-PROVENCE,0.002,Lignes Electriques,991
Foret,2020-10-15,13,AURIOL,0.1,Depot d'Ordures,994
Foret,2020-10-15,34,QUARANTE,2.0092,Travaux Agricoles,995
Foret,2020-10-16,83,ROCBARON,0.3,Travaux (Particuliers),996
Foret,2020-10-16,4,CASTELLET (LE),1.06,Travaux Agricoles,997
Foret,2020-10-17,83,PIGNANS,0.5,Travaux (Particuliers),998
Foret,2020-10-17,34,MURVIEL-LES-BEZIERS,3.049,Malveillance,999
Foret,2020-10-17,34,LAVERUNE,1.3478,Malveillance,1000
Foret,2020-10-19,34,QUARANTE,0.5,Reprise Incendie,1001
Foret,2020-10-20,4,PIERREVERT,0.0007,Jet D'Objets Incandescents,1003
Foret,2020-10-20,6,TOUDON,0.05,Foudre,1004
Foret,2020-10-24,2B,ZALANA,4.0,Malveillance,1008
Foret,2020-10-24,83,ENTRECASTEAUX,0.02,Travaux Forestiers,1009
Foret,2020-10-25,2A,BALOGNA,0.0001,Depot d'Ordures,1012
Foret,2020-10-26,2A,APPIETTO,0.0001,Travaux (Particuliers),1015
Foret,2020-10-28,2A,PORTO-VECCHIO,0.002,Travaux (Particuliers),1018
Foret,2020-10-30,6,GREOLIERES,0.5,Travaux (Particuliers),1022
Foret,2020-10-30,34,LESPIGNAN,0.7279,Travaux Forestiers,1023
Foret,2020-11-01,83,BESSE-SUR-ISSOLE,0.1,Travaux Forestiers,1024
Foret,2020-11-07,34,CAUSSES-ET-VEYRAN,7.9565,Malveillance,1032
Foret,2020-11-08,2A,TAVACO,7.0,Interet,1034
Foret,2020-11-09,2A,PORTO-VECCHIO,0.005,Travaux (Particuliers),1036
Foret,2020-11-21,4,AUBIGNOSC,9.25,Vehicules,1050
Foret,2020-11-21,48,FLORAC,1.2,Travaux (Particuliers),1051
Foret,2020-11-21,2A,LEVIE,0.02,Travaux (Particuliers),1052
Foret,2020-11-22,7,MALARCE-SUR-LA-THINES,3.1,Travaux Agricoles,1055
Foret,2020-11-23,30,SAINT-JEAN-DU-PIN,0.4529,Travaux (Particuliers),1057
Foret,2020-11-24,13,MEYREUIL,0.2,Jet D'Objets Incandescents,1058
Foret,2020-11-25,66,SALSES-LE-CHATEAU,1.5,Vehicules,1059
Foret,2020-11-26,2A,LECCI,0.06,Travaux (Particuliers),1060
Foret,2020-11-27,4,ESPARRON-DE-VERDON,0.25,Foudre,1061
Foret,2020-12-09,34,LESPIGNAN,4.3819,Interet,1063
Foret,2021-01-08,34,MONTAGNAC,0.0249,Involontaire (travaux),1071
Foret,2021-01-09,34,SAINT-PRIVAT,0.9238,Malveillance,1072
